fullname,Papers,Cites,H-Index,HM-Index,First,Last
Kim Streatfield,1,61,1,1,1991,1991
Frances E. Kobrin,1,17,1,1,1981,1981
Muriel Neven,1,22,1,1,2007,2007
Peter Skol̈d,1,16,1,1,1996,1996
Gretchen A. Condran,1,60,1,1,1994,1994
Romana Peronaci,1,28,1,1,2000,2000
H. Yuan Tien,1,4,1,1,1970,1970
Arild Saether,1,2,1,1,1993,1993
Nicola Terceira,1,44,1,1,2003,2003
Alan R. Sweezy,1,15,1,1,1971,1971
Dirgha J. Ghimire,1,14,1,1,2012,2012
Jesús Javier Sánchez Barricarte,1,4,1,1,2017,2017
Baron L. Moots,1,34,1,1,1978,1978
Fernando González-Quinones,1,23,1,1,2003,2003
Allan M. Parnell,1,11,1,1,1983,1983
Jane E. Vander Haar,1,27,1,1,1993,1993
Pedro Luis Iriso-Napal,1,17,1,1,1989,1989
Ian M. Timaæus,1,23,1,1,2004,2004
Karla Oosterveen,1,39,1,1,1973,1973
Ma Linmao,1,24,1,1,2000,2000
S. Ryan Johansson,1,59,1,1,1987,1987
Ephraim Hlophe,1,14,1,1,1992,1992
Lilach Lion Elmakias,1,24,1,1,2002,2002
Gugulethu Gule,1,14,1,1,1992,1992
Ole Jørgen Benedictow,1,24,1,1,1987,1987
