fullname,Papers,Cites,H-Index,First,Last
Jonathan Haughton,1,18,1,1997,1997
Jason Hilton,1,3,1,2017,2017
Lauren K. Bachan,1,7,1,2017,2017
Renato Martins Assun&#231;&#227;o,1,11,1,2013,2013
Liudmila Torgasheva,1,8,1,2013,2013
John R. Bryant,1,19,1,2016,2016
Gunnar Malmberg,1,10,1,2018,2018
Jeffrey Edmeades,1,17,1,2012,2012
Ilya Kashnitsky,1,0,0,2020,2020
Michelle Hindin,1,23,1,2009,2009
Tina Hannemann,1,3,1,2019,2019
Susan B. Schaffnit,1,4,1,2017,2017
Marcus Ebeling,1,3,1,2018,2018
Yu Chieh Hsu,1,0,0,2017,2017
Laura A. Kelly,1,3,1,2016,2016
Benoît Laplante,1,1,1,2018,2018
Marco Le Moglie,1,1,1,2020,2020
Terence H. Hull,1,7,1,1977,1977
Patrick Sabourin,1,1,1,2018,2018
Benedetta Pongiglione,1,1,1,2020,2020
Joshua A. Salomon,1,76,1,2003,2003
Christopher Handy,1,5,1,2015,2015
Yingchun Ji,1,3,1,2015,2015
Hugh Davies,1,28,1,2000,2000
Paul K C Liu,1,7,1,1967,1967
David Thomas,1,17,1,1972,1972
Osea Giuntella,1,6,1,2019,2019
Guang Guo,1,24,1,1993,1993
David Shapiro,1,14,1,1996,1996
Sara E. Yeatman,1,22,1,2012,2012
Emmanuel F. Souza,1,0,0,2020,2020
Silvia Bermúdez,1,3,1,2016,2016
Walter R. Gilks,1,11,1,1986,1986
Hans Harmsen,1,0,0,1950,1950
Earl W. Morris,1,13,1,1966,1966
Kathleen Ford,1,58,1,1987,1987
Sangeeta Chatterji,1,0,0,2020,2020
Purushottam M. Kulkarni,1,1,1,2020,2020
Julia Hellstrand,1,1,1,2020,2020
Beryl J. Roberts,1,15,1,1965,1965
Joel B. Greenhouse,1,52,1,1994,1994
Joel T. Rosenthal,1,9,1,1973,1973
Serhii Pyrozhkov,1,25,1,2002,2002
Nigel Crook,1,4,1,1996,1996
Assa Doumbia Gakou,1,0,0,2020,2020
Tuija P. Martelin,1,86,1,2005,2005
Berenike Thoma,1,0,0,2020,2020
Osamu Saito,1,22,1,1996,1996
Elliot G. Mishler,1,2,1,1956,1956
John Giles,1,0,0,2020,2020
T. Lynn Smith,1,0,0,1958,1958
Sarah E. Patterson,1,0,0,2020,2020
Linda Meyers,1,45,1,1985,1985
Mark Gortfelder,1,0,0,2020,2020
